expectation,expectation_type,arg_keys
ExpectColumnDistinctValuesToBeInSet,expect_column_distinct_values_to_be_in_set,"[""column"", ""value_set""]"
ExpectColumnDistinctValuesToContainSet,expect_column_distinct_values_to_contain_set,"[""column"", ""value_set""]"
ExpectColumnDistinctValuesToEqualSet,expect_column_distinct_values_to_equal_set,"[""column"", ""value_set""]"
ExpectColumnKLDivergenceToBeLessThan,expect_column_kl_divergence_to_be_less_than,"[""column"", ""partition_object"", ""threshold""]"
ExpectColumnMaxToBeBetween,expect_column_max_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnMeanToBeBetween,expect_column_mean_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnMedianToBeBetween,expect_column_median_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnMinToBeBetween,expect_column_min_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnMostCommonValueToBeInSet,expect_column_most_common_value_to_be_in_set,"[""column"", ""value_set""]"
ExpectColumnPairValuesAToBeGreaterThanB,expect_column_pair_values_a_to_be_greater_than_b,"[""column_A"", ""column_B"", ""or_equal""]"
ExpectColumnPairValuesToBeEqual,expect_column_pair_values_to_be_equal,"[""column_A"", ""column_B"", ""mostly""]"
ExpectColumnPairValuesToBeInSet,expect_column_pair_values_to_be_in_set,"[""column_A"", ""column_B"", ""value_pairs_set""]"
ExpectColumnProportionOfNonNullValuesToBeBetween,expect_column_proportion_of_non_null_values_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnProportionOfUniqueValuesToBeBetween,expect_column_proportion_of_unique_values_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnQuantileValuesToBeBetween,expect_column_quantile_values_to_be_between,"[""column"", ""quantile_ranges"", ""allow_relative_error""]"
ExpectColumnStdevToBeBetween,expect_column_stdev_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnSumToBeBetween,expect_column_sum_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnToExist,expect_column_to_exist,"[""column"", ""column_index""]"
ExpectColumnUniqueValueCountToBeBetween,expect_column_unique_value_count_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectColumnValueLengthsToBeBetween,expect_column_value_lengths_to_be_between,"[""column"", ""min_value"", ""max_value"", ""mostly""]"
ExpectColumnValueLengthsToEqual,expect_column_value_lengths_to_equal,"[""column"", ""value""]"
ExpectColumnValuesToBeBetween,expect_column_values_to_be_between,"[""column"", ""min_value"", ""max_value"", ""strict_min"", ""strict_max"", ""mostly""]"
ExpectColumnValuesToBeDateutilParseable,expect_column_values_to_be_dateutil_parseable,"[""column"", ""mostly""]"
ExpectColumnValuesToBeDecreasing,expect_column_values_to_be_decreasing,"[""column""]"
ExpectColumnValuesToBeIncreasing,expect_column_values_to_be_increasing,"[""column""]"
ExpectColumnValuesToBeInSet,expect_column_values_to_be_in_set,"[""column"", ""value_set"", ""mostly""]"
ExpectColumnValuesToBeInTypeList,expect_column_values_to_be_in_type_list,"[""column"", ""type_list""]"
ExpectColumnValuesToBeJsonParseable,expect_column_values_to_be_json_parseable,"[""column""]"
ExpectColumnValuesToBeNull,expect_column_values_to_be_null,"[""column""]"
ExpectColumnValuesToBeOfType,expect_column_values_to_be_of_type,"[""column"", ""type_""]"
ExpectColumnValuesToBeUnique,expect_column_values_to_be_unique,"[""column""]"
ExpectColumnValuesToMatchJsonSchema,expect_column_values_to_match_json_schema,"[""column"", ""json_schema""]"
ExpectColumnValuesToMatchLikePattern,expect_column_values_to_match_like_pattern,"[""column"", ""like_pattern""]"
ExpectColumnValuesToMatchLikePatternList,expect_column_values_to_match_like_pattern_list,"[""column"", ""like_pattern_list""]"
ExpectColumnValuesToMatchRegex,expect_column_values_to_match_regex,"[""column"", ""regex"", ""mostly""]"
ExpectColumnValuesToMatchRegexList,expect_column_values_to_match_regex_list,"[""column"", ""regex_list""]"
ExpectColumnValuesToMatchStrftimeFormat,expect_column_values_to_match_strftime_format,"[""column"", ""strftime_format""]"
ExpectColumnValuesToNotBeInSet,expect_column_values_to_not_be_in_set,"[""column"", ""value_set"", ""mostly""]"
ExpectColumnValuesToNotBeNull,expect_column_values_to_not_be_null,"[""column"", ""mostly""]"
ExpectColumnValuesToNotMatchLikePattern,expect_column_values_to_not_match_like_pattern,"[""column"", ""like_pattern""]"
ExpectColumnValuesToNotMatchLikePatternList,expect_column_values_to_not_match_like_pattern_list,"[""column"", ""like_pattern_list""]"
ExpectColumnValuesToNotMatchRegex,expect_column_values_to_not_match_regex,"[""column"", ""regex""]"
ExpectColumnValuesToNotMatchRegexList,expect_column_values_to_not_match_regex_list,"[""column"", ""regex_list""]"
ExpectColumnValueZScoresToBeLessThan,expect_column_value_z_scores_to_be_less_than,"[""column"", ""threshold""]"
ExpectCompoundColumnsToBeUnique,expect_compound_columns_to_be_unique,"[""column_list""]"
ExpectMulticolumnSumToEqual,expect_multicolumn_sum_to_equal,"[""column_list"", ""sum_total""]"
ExpectMulticolumnValuesToBeUnique,,"[""column_list""]"
ExpectQueryResultsToMatchComparison,expect_query_results_to_match_comparison,"[]"
ExpectSelectColumnValuesToBeUniqueWithinRecord,expect_select_column_values_to_be_unique_within_record,"[""column_list""]"
ExpectTableColumnCountToBeBetween,expect_table_column_count_to_be_between,"[""min_value"", ""max_value""]"
ExpectTableColumnCountToEqual,expect_table_column_count_to_equal,"[""value""]"
ExpectTableColumnsToMatchOrderedList,expect_table_columns_to_match_ordered_list,"[""column_list""]"
ExpectTableColumnsToMatchSet,expect_table_columns_to_match_set,"[""column_set"", ""exact_match""]"
ExpectTableRowCountToBeBetween,expect_table_row_count_to_be_between,"[""min_value"", ""max_value"", ""strict_min"", ""strict_max""]"
ExpectTableRowCountToEqual,expect_table_row_count_to_equal,"[""value""]"
ExpectTableRowCountToEqualOtherTable,expect_table_row_count_to_equal_other_table,"[""other_table_name""]"
