READING_ID,STATION_ID,READING_TS,TEMPERATURE_F,HUMIDITY_PCT,PRESSURE_HPA,WIND_SPEED_MPH,RAINFALL_IN,BATTERY_PCT
1,1,2026-08-01T19:00:00,64.6,54.4,1019.7,12.0,0.02,84
2,1,2026-08-02T17:00:00,74.2,61.4,1005.2,14.2,0,63
3,1,2026-08-03T20:00:00,69.2,38.6,1010.9,9.0,0.02,91
4,1,2026-08-04T09:00:00,65.4,40.4,1003.5,10.5,0,59
5,1,2026-08-05T17:00:00,65.5,77.7,1013.2,15.5,0.02,94
6,1,2026-08-06T09:00:00,76.4,71.5,988.7,11.4,0,98
7,1,2026-08-07T14:00:00,76.3,36.3,1010.2,18.5,0.02,94
8,1,2026-08-08T14:00:00,65.8,45.9,1004.5,14.9,0,61
9,1,2026-08-09T09:00:00,64.6,42.8,994.1,1.6,0,85
10,1,2026-08-10T20:00:00,64.5,65.2,1024.0,20.9,0,67
11,2,2026-08-01T07:00:00,67.9,57.4,992.5,15.7,0,55
12,2,2026-08-02T08:00:00,60.8,60.4,1010.4,0.1,0.4,58
13,2,2026-08-03T09:00:00,67.3,142.0,985.3,16.7,0.02,61
14,2,2026-08-04T18:00:00,71.1,32.8,998.4,3.2,0.15,55
15,2,2026-08-05T15:00:00,65.8,63.6,1003.4,3.3,0.15,67
16,2,2026-08-06T11:00:00,63.8,62.4,986.4,18.5,0.4,95
17,2,2026-08-07T14:00:00,65.3,48.5,989.9,15.2,0,65
18,2,2026-08-08T11:00:00,71.3,82.6,995.2,13.0,0,72
19,2,2026-08-09T14:00:00,64.0,32.2,1021.3,14.1,0,89
20,2,2026-08-10T14:00:00,56.7,41.8,986.3,19.3,0.15,88
21,3,2026-08-01T16:00:00,70.8,76.1,994.0,17.3,0,90
22,3,2026-08-02T06:00:00,57.6,66.1,1024.3,13.9,0.02,56
23,3,2026-08-03T19:00:00,68.2,72.6,995.2,13.4,0.02,97
24,3,2026-08-04T13:00:00,61.3,57.1,1006.1,14.3,0,87
25,3,2026-08-05T10:00:00,59.4,77.3,989.5,11.0,0,66
26,3,2026-08-06T10:00:00,62.2,61.5,1007.6,19.2,0.4,60
27,3,2026-08-07T07:00:00,60.0,66.2,998.8,12.9,0.02,58
28,3,2026-08-08T20:00:00,-999.0,53.1,991.0,13.8,0.02,95
29,3,2026-08-09T20:00:00,63.6,58.5,991.7,2.4,0.02,76
30,3,2026-08-10T15:00:00,64.7,60.7,1005.3,0.8,0,55
31,4,2026-08-01T06:00:00,53.7,60.3,997.7,21.5,0,99
32,4,2026-08-02T08:00:00,49.4,32.0,1004.4,0.7,0.4,65
33,4,2026-08-03T10:00:00,59.3,38.9,1007.6,14.7,0.02,96
34,4,2026-08-04T07:00:00,59.0,44.6,996.7,21.8,0.15,86
35,4,2026-08-05T13:00:00,56.7,34.8,1020.4,13.5,0.4,100
36,4,2026-08-06T13:00:00,52.6,30.1,1011.5,14.1,0.02,55
37,4,2026-08-07T20:00:00,63.2,65.1,1007.6,20.3,0,69
38,4,2026-08-08T19:00:00,53.1,50.6,1001.0,11.8,0,98
39,4,2026-08-09T15:00:00,61.8,66.4,998.6,20.4,0.15,71
40,4,2026-08-10T14:00:00,62.6,31.9,985.8,21.5,0,79
41,5,2026-08-01T08:00:00,51.1,36.2,,14.7,0.15,70
42,5,2026-08-02T20:00:00,38.2,77.3,1021.0,2.3,0.15,76
43,5,2026-08-03T19:00:00,53.2,30.2,1006.9,8.2,0.15,76
44,5,2026-08-04T07:00:00,51.3,38.6,1003.7,18.4,0.02,57
45,5,2026-08-05T15:00:00,39.6,32.5,1002.7,10.1,0.4,75
46,5,2026-08-06T12:00:00,41.5,73.7,1015.4,13.4,0.15,91
47,5,2026-08-07T12:00:00,37.6,66.5,986.7,11.2,0.15,57
48,5,2026-08-08T10:00:00,44.2,30.1,1020.1,0.0,0.15,86
49,5,2026-08-09T14:00:00,45.3,33.5,1024.6,14.8,0.15,69
50,5,2026-08-10T10:00:00,44.2,47.0,1023.7,2.3,0,100
51,6,2026-08-01T06:00:00,41.8,54.0,1019.3,3.5,0,73
52,6,2026-08-02T07:00:00,55.1,36.7,1008.3,8.8,0,85
53,6,2026-08-03T13:00:00,49.2,58.3,1024.4,17.1,0.4,86
54,6,2026-08-04T19:00:00,56.5,61.8,1016.7,16.5,0.02,84
55,6,2026-08-05T14:00:00,42.8,56.8,994.1,17.2,0,72
56,6,2026-08-06T16:00:00,55.1,42.1,987.2,-5.0,0.15,96
57,6,2026-08-07T18:00:00,52.1,35.0,997.3,5.8,0.02,68
58,6,2026-08-08T19:00:00,52.8,62.7,1018.0,0.5,0.02,73
59,6,2026-08-09T12:00:00,49.9,79.0,999.1,7.2,0.4,97
60,6,2026-08-10T12:00:00,50.2,49.2,1018.1,6.2,0.15,84
61,7,2026-08-01T19:00:00,58.4,30.4,988.7,9.1,0,56
62,7,2026-08-02T07:00:00,72.1,81.8,990.8,12.0,0,82
63,7,2026-08-03T06:00:00,74.0,51.7,990.3,21.1,0.02,94
64,7,2026-08-04T16:00:00,69.1,35.6,1009.9,3.3,0.4,68
65,7,2026-08-05T12:00:00,66.3,45.1,988.0,6.6,0.4,82
66,7,2026-08-06T18:00:00,64.1,80.1,1011.3,20.4,0.15,92
67,7,2026-08-07T08:00:00,72.9,49.9,990.2,6.0,0.15,86
68,7,2026-08-08T14:00:00,67.2,47.4,1006.5,7.7,0.15,88
69,7,2026-08-09T13:00:00,66.1,46.8,1003.1,6.1,0.4,79
70,7,2026-08-10T08:00:00,69.2,49.9,1018.8,1.7,0,66
71,8,2026-08-01T11:00:00,71.8,76.6,988.4,10.1,0.4,137
72,8,2026-08-02T09:00:00,68.1,57.9,1014.1,8.7,0,97
73,8,2026-08-03T17:00:00,65.9,37.3,993.8,13.7,0,88
74,8,2026-08-04T11:00:00,60.6,32.8,999.2,20.4,0.02,60
75,8,2026-08-05T14:00:00,75.4,38.6,1004.7,15.4,0,58
76,8,2026-08-06T18:00:00,69.9,82.5,1010.9,5.4,0.15,96
77,8,2026-08-07T16:00:00,70.1,70.2,1010.6,3.5,0.02,93
78,8,2026-08-08T19:00:00,64.2,43.6,1005.5,14.8,0,65
79,8,2026-08-09T07:00:00,61.7,75.2,1000.2,8.7,0,87
80,8,2026-08-10T13:00:00,75.4,62.8,1010.9,3.2,0,61
81,9,2026-08-01T14:00:00,53.5,74.8,994.0,21.4,0,68
82,9,2026-08-02T19:00:00,49.5,36.7,1010.7,1.9,0,63
83,9,2026-08-03T18:00:00,50.3,45.7,1002.7,7.2,0.15,79
84,9,2026-08-04T12:00:00,47.2,42.8,995.0,18.5,0.4,78
85,9,2026-08-05T07:00:00,56.9,55.5,1020.6,16.3,0.15,66
86,9,2026-08-06T19:00:00,62.4,62.6,989.3,3.4,-0.1,79
87,9,2026-08-07T16:00:00,58.2,76.8,1012.1,0.5,0.4,62
88,9,2026-08-08T18:00:00,51.4,44.8,999.0,13.4,0.15,93
89,9,2026-08-09T18:00:00,62.4,80.0,1013.1,15.5,0,74
90,9,2026-08-10T11:00:00,49.5,31.4,993.6,12.3,0.4,69
91,10,2026-08-01T11:00:00,70.3,34.6,987.3,12.3,0,70
92,10,2026-08-02T15:00:00,70.2,72.6,1015.2,8.5,0,63
93,10,2026-08-03T20:00:00,77.8,41.6,1016.1,17.2,0.4,85
94,10,2026-08-04T06:00:00,73.5,43.8,1016.9,16.7,0.15,73
95,10,2026-08-05T07:00:00,70.4,58.3,988.2,18.7,0.15,73
96,10,2026-08-06T13:00:00,73.7,62.9,1012.6,15.5,0.15,68
97,10,2026-08-07T20:00:00,71.6,54.9,986.2,19.7,0.15,77
98,10,2026-08-08T11:00:00,75.0,59.6,985.7,8.8,0.4,57
99,10,2026-08-09T07:00:00,81.9,52.4,994.4,14.8,0,74
100,10,2026-08-10T09:00:00,81.8,58.7,1023.0,21.5,0.4,61
101,11,not-a-timestamp,60.3,31.1,1024.3,17.6,0,88
102,11,2026-08-02T12:00:00,64.6,59.6,998.4,20.2,0.15,70
103,11,2026-08-03T16:00:00,65.7,39.0,988.9,4.5,0.4,64
104,11,2026-08-04T19:00:00,59.3,80.7,1013.8,15.0,0.02,78
105,11,2026-08-05T18:00:00,63.4,81.4,1023.6,14.8,0,88
106,11,2026-08-06T13:00:00,63.0,84.5,1009.2,6.4,0,93
107,11,2026-08-07T12:00:00,62.3,64.8,1022.6,10.1,0.15,68
108,11,2026-08-08T15:00:00,56.3,36.2,992.9,18.1,0,60
109,11,2026-08-09T09:00:00,65.3,51.9,989.4,21.9,0.15,87
110,11,2026-08-10T10:00:00,56.7,61.3,996.7,2.9,0.4,99
111,12,2026-08-01T07:00:00,49.6,71.1,1022.1,12.4,0.02,79
112,12,2026-08-02T13:00:00,62.8,30.8,992.7,6.1,0,98
113,12,2026-08-03T07:00:00,61.5,71.8,1012.7,12.6,0,74
114,12,2026-08-04T09:00:00,62.0,38.2,1021.9,12.6,0,64
115,12,2026-08-05T14:00:00,55.5,79.1,1022.0,21.7,0,86
116,12,2026-08-06T14:00:00,51.7,31.1,1016.6,19.6,0,93
117,12,2026-08-07T10:00:00,57.9,51.1,1021.1,13.2,0,75
118,12,2026-08-08T19:00:00,58.6,77.4,995.3,20.6,0.02,71
119,12,2026-08-09T11:00:00,57.1,83.5,998.6,0.0,0.4,83
120,12,2026-08-10T06:00:00,58.3,71.0,1008.7,9.4,0.4,60
121,13,2026-08-01T06:00:00,56.9,40.3,1008.3,5.0,0,79
122,13,2026-08-02T12:00:00,65.3,68.6,991.8,0.1,0.4,98
123,13,2026-08-03T15:00:00,61.5,43.1,1001.8,9.7,0.15,83
124,13,2026-08-04T06:00:00,63.5,57.8,1023.6,18.6,0,56
125,13,2026-08-05T11:00:00,66.6,53.2,1001.1,11.4,0.15,70
126,13,2026-08-06T15:00:00,69.3,38.8,993.0,11.4,0,82
127,13,2026-08-07T14:00:00,57.2,49.1,1009.5,13.5,0.4,80
128,13,2026-08-08T13:00:00,66.2,48.6,996.8,7.1,0,96
129,13,2026-08-09T16:00:00,55.6,41.9,992.9,1.9,0.4,73
130,13,2026-08-10T17:00:00,65.2,59.2,1007.7,6.8,0.15,71
131,14,2026-08-01T15:00:00,58.5,37.6,1016.2,8.3,0.02,64
132,14,2026-08-02T17:00:00,58.4,39.0,1001.5,18.9,0,90
133,14,2026-08-03T08:00:00,54.8,55.3,1001.5,1.4,0.02,84
134,14,2026-08-04T19:00:00,51.9,57.1,1008.1,13.6,0.4,83
135,14,2026-08-05T08:00:00,58.4,58.4,1000.2,3.8,0,94
136,14,2026-08-06T16:00:00,48.3,55.6,1010.2,18.5,0,97
137,14,2026-08-07T06:00:00,60.0,41.9,1007.9,8.8,0,92
138,14,2026-08-08T08:00:00,51.1,56.8,1004.0,4.6,0.15,99
139,14,2026-08-09T09:00:00,47.4,51.4,985.0,11.0,0.15,56
140,14,2026-08-10T19:00:00,50.8,80.5,1016.0,6.3,0.15,75
141,15,2026-08-01T15:00:00,61.1,71.9,1012.9,14.3,0.4,65
142,15,2026-08-02T13:00:00,49.4,47.1,1002.7,12.7,0,83
143,15,2026-08-03T06:00:00,53.9,38.0,1024.1,4.5,0,70
144,15,2026-08-04T13:00:00,63.2,38.9,996.9,21.5,0,78
145,15,2026-08-05T18:00:00,62.6,54.3,1001.9,12.7,0.15,96
146,15,2026-08-06T16:00:00,58.1,74.2,1022.7,19.8,0,68
147,15,2026-08-07T09:00:00,63.2,32.8,1011.9,19.1,0,85
