STATION_ID,CUSTOMER_ID,MODEL_CD,INSTALL_DATE,WARRANTY_START_DATE,WARRANTY_END_DATE,IS_ACTIVE
1,23,WX300,2024-01-19,2024-01-19,2026-01-19,1
2,9,WX200,2024-01-12,2024-01-12,2026-01-12,1
3,12,WX300,2023-10-14,2023-10-14,2025-10-14,1
4,6,WX200,2024-09-12,2024-09-12,2024-09-12,1
5,7,WX200,2026-11-14,2026-11-14,2028-11-14,1
6,22,WX200,2025-12-06,2025-12-06,2027-12-06,1
7,20,WX200,2024-10-11,2024-10-11,2026-10-11,1
8,11,WX50,2023-01-28,2023-01-28,2025-01-28,1
9,18,WX200,2025-09-25,2025-09-25,2027-09-25,1
10,3,WX200,2026-06-14,2026-06-14,2028-06-14,1
11,5,WX200,2026-01-08,2026-01-08,2028-01-08,1
12,1,WX200,2023-03-10,2023-03-10,2025-03-10,1
13,13,WX300,2023-03-03,2023-03-03,2025-03-03,1
14,4,WX200,2023-06-18,2023-06-18,2025-06-18,1
15,15,WX300,2023-12-01,2023-12-01,2025-12-01,1
2,9,WX200,2024-01-12,2024-01-12,2026-01-12,1
