source,expectation_type,column,table,severity,test_category,success,result_type,rule_kind,element_count,missing_count,missing_percent,unexpected_count,unexpected_percent,unexpected_percent_total,observed_value,expectation_kwargs,run_date,environment_name
CUSTOMERS,expect_column_values_to_be_unique,CUSTOMER_ID,CUSTOMERS,critical,DQ,False,failure,single_column,26,0,0.0,2,7.6923076923076925,7.6923076923076925,,"{""column"": ""CUSTOMER_ID""}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_column_values_to_not_be_null,CUSTOMER_ID,CUSTOMERS,critical,DQ,True,success,single_column,26,,,0,0.0,,,"{""column"": ""CUSTOMER_ID""}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_column_values_to_not_be_null,LAST_NAME,CUSTOMERS,warning,DQ,False,failure,single_column,26,,,1,3.8461538461538463,,,"{""column"": ""LAST_NAME""}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_column_values_to_be_in_set,STATE_CD,CUSTOMERS,warning,DQ,False,failure,single_column,26,0,0.0,1,3.8461538461538463,3.8461538461538463,,"{""column"": ""STATE_CD"", ""value_set"": [""CA"", ""NY"", ""TX"", ""WA"", ""CO"", ""OR"", ""AZ"", ""IL"", ""MA"", ""NC"", ""MN"", ""GA"", ""UT"", ""VA"", ""MI""]}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_column_value_lengths_to_equal,STATE_CD,CUSTOMERS,warning,DQ,True,success,single_column,26,0,0.0,0,0.0,0.0,,"{""column"": ""STATE_CD"", ""value"": 2.0}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_column_values_to_be_in_set,ACCOUNT_STATUS,CUSTOMERS,critical,DQ,False,failure,single_column,26,0,0.0,1,3.8461538461538463,3.8461538461538463,,"{""column"": ""ACCOUNT_STATUS"", ""value_set"": [""ACTIVE"", ""INACTIVE"", ""SUSPENDED""]}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_column_values_to_be_between,LOYALTY_POINTS,CUSTOMERS,critical,DQ,False,failure,single_column,26,0,0.0,1,3.8461538461538463,3.8461538461538463,,"{""column"": ""LOYALTY_POINTS"", ""max_value"": 100000.0, ""min_value"": 0.0}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_column_values_to_be_dateutil_parseable,SIGNUP_DATE,CUSTOMERS,warning,DQ,False,failure,single_column,26,0,0.0,1,3.8461538461538463,3.8461538461538463,,"{""column"": ""SIGNUP_DATE""}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_compound_columns_to_be_unique,"FIRST_NAME, LAST_NAME",CUSTOMERS,info,DQ,True,success,compound_key,26,0,0.0,0,0.0,0.0,,"{""column_list"": [""FIRST_NAME"", ""LAST_NAME""]}",2026-09-12T14:45:11.672182+00:00,demo_weather
CUSTOMERS,expect_table_row_count_to_be_between,CUSTOMER_ID,CUSTOMERS,info,DQ,True,success,aggregate,,,,,,,26,"{""catch_exceptions"": true, ""max_value"": 100, ""min_value"": 10}",2026-09-12T14:45:11.672182+00:00,demo_weather
