table,column,expectation,column_A,column_B,min_value,max_value,strict_min,strict_max,mostly,value_set,column_list,value,severity,meta
CUSTOMERS,CUSTOMER_ID,ExpectColumnValuesToBeUnique,,,,,,,,,,,critical,"{""notes"": ""primary key must be unique""}"
CUSTOMERS,CUSTOMER_ID,ExpectColumnValuesToNotBeNull,,,,,,,1.0,,,,critical,"{""notes"": ""primary key must be present""}"
CUSTOMERS,LAST_NAME,ExpectColumnValuesToNotBeNull,,,,,,,1.0,,,,warning,"{""notes"": ""a customer record with no last name is incomplete""}"
CUSTOMERS,STATE_CD,ExpectColumnValuesToBeInSet,,,,,,,1.0,"[""CA"", ""NY"", ""TX"", ""WA"", ""CO"", ""OR"", ""AZ"", ""IL"", ""MA"", ""NC"", ""MN"", ""GA"", ""UT"", ""VA"", ""MI""]",,,warning,"{""notes"": ""home state must be one we actually ship to""}"
CUSTOMERS,STATE_CD,ExpectColumnValueLengthsToEqual,,,,,,,,,,2,warning,"{""notes"": ""state codes are always 2 letters""}"
CUSTOMERS,ACCOUNT_STATUS,ExpectColumnValuesToBeInSet,,,,,,,1.0,"[""ACTIVE"", ""INACTIVE"", ""SUSPENDED""]",,,critical,"{""notes"": ""no other lifecycle states exist""}"
CUSTOMERS,LOYALTY_POINTS,ExpectColumnValuesToBeBetween,,,0,100000,false,false,1.0,,,,critical,"{""notes"": ""points can never go negative""}"
CUSTOMERS,SIGNUP_DATE,ExpectColumnValuesToBeDateutilParseable,,,,,,,1.0,,,,warning,"{""notes"": ""must be a real date""}"
CUSTOMERS,"FIRST_NAME, LAST_NAME",ExpectCompoundColumnsToBeUnique,,,,,,,,,"[""FIRST_NAME"", ""LAST_NAME""]",,info,"{""notes"": ""sniff test for accidental duplicate customer records""}"
CUSTOMERS,CUSTOMER_ID,ExpectTableRowCountToBeBetween,,,10,100,false,false,,,,,info,"{""notes"": ""sanity bound on table size""}"
